,,,,,,,,,
,FRN@UCSD,,,,64 Degrees Recovery Log ,,,,
,Today's Date,Start Time,Start Temp.,Finish Time,Finish Temp.,Donated to,Food Recovered,lbs. ,Initials
,12/02/16,8.20am,,,,USA,salad,4lb 3oz,SR
,,,41.7,,40,,cauliflower,10lb 8oz,SR
,,,44.2,,40,,mac and cheese ,4lb 11oz,SR
,,,44.9,,16,,Potatoes ,32 lb 3oz ,SR
,,,37.9,,16,,Chicken ,44lb 2oz ,SR
,,,39.5,,40,,KBBQ Rib ,7lb 6oz,SR
,,,41,,18,,Seared Kale ,11lb 15oz,SR
,,,,,,,TOTAL ,115LB ,HD
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,TOTAL:,
,,,,,,,,,
,"*Each food item that is in a seperate container deserves a seperate line, so that each pan is paired with its correct weight and temp.",,,,,,,,
