,,,,,,,,,
,FRN@UCSD,,,,64 Degrees Recovery Log ,,,,
,Today's Date,Start Time,Start Temp.,Finish Time,Finish Temp.,Donated to,Food Recovered,lbs. ,Initials
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,TOTAL:,
,,,,,,,,,
,"*Each food item that is in a seperate container deserves a seperate line, so that each pan is paired with its correct weight and temp.",,,,,,,,
